UnixTimestamp,Date,Time,SystemBattery,HCEP(TEMP),HCEP(COND),HCEP(PRES),HCEP(OXY),HCEP(PH),HCEP(FL),HCEP(TURB),HCEP(FSD),HCEP(TSD),HCEP(SAL),HCEP(SNDV),HCEP(SPC),HCEP(OSAT),HCEP(VOLT),HCEP(NUM),SUNA(M_Parameter1),SUNA(M_Parameter2),SUNA(M_Parameter3),SUNA(M_Parameter4),HCEP(ERR)
1682208000000,2023-04-23,00:00:00,13.83,9.8774,2.80307,3.392,11.748,8.4,5.892,0.534,1.42,0.18,25.0058,1477.3,4.01846,121.77,13.8,3662.0,1.52,0.0213,15887.0,907.0,0.0
1682208900000,2023-04-23,00:15:00,13.85,9.9284,2.80369,3.628,11.748,8.4,6.06,0.494,1.14,0.08,24.9766,1477.458,4.01349,121.89,13.8,3663.0,0.0,0.0,1874.0,908.0,0.0
1682209800000,2023-04-23,00:30:00,13.85,9.8637,2.80047,3.849,11.772,8.4,6.932,0.512,1.53,0.08,24.9896,1477.238,4.01631,121.99,13.8,3664.0,7.05,0.0988,13891.0,908.0,0.0
1682210700000,2023-04-23,00:45:00,13.85,9.8685,2.8005,4.039,11.795,8.4,6.948,0.548,1.38,0.11,24.9866,1477.255,4.01581,122.22,13.8,3665.0,13.1,0.184,11309.0,906.0,0.0
1682211600000,2023-04-23,01:00:00,13.84,9.8547,2.79969,4.222,11.821,8.4,6.381,0.497,0.81,0.08,24.988,1477.208,4.01623,122.46,13.8,3666.0,0.828,0.0116,16913.0,909.0,0.0
1682212500000,2023-04-23,01:15:00,13.87,9.8443,2.79891,4.398,11.835,8.4,6.728,0.498,1.16,0.06,24.9875,1477.172,4.01631,122.58,13.8,3667.0,0.616,0.00863,16907.0,908.0,0.0
1682213400000,2023-04-23,01:30:00,13.85,9.86,2.79621,4.56,11.875,8.41,7.301,0.474,1.38,0.1,24.95,1477.188,4.01062,123.01,13.8,3668.0,1.18,0.0165,16858.0,908.0,0.0
1682214300000,2023-04-23,01:45:00,13.85,9.8751,2.79694,4.699,11.869,8.41,6.769,0.491,1.19,0.07,24.9468,1477.242,4.00994,122.97,13.8,3669.0,0.0,0.0,905.0,907.0,0.0
1682215200000,2023-04-23,02:00:00,13.66,9.9275,2.79842,4.814,11.894,8.41,7.002,0.565,1.69,0.17,24.9251,1477.412,4.00604,123.37,13.8,3670.0,-1.62,-0.0227,14849.0,907.0,0.0
1682216100000,2023-04-23,02:15:00,13.89,9.9313,2.79639,4.907,11.883,8.41,7.283,0.583,1.12,0.1,24.9025,1477.4,4.00269,123.24,13.8,3671.0,0.58,0.00812,16524.0,907.0,0.0
1682217000000,2023-04-23,02:30:00,13.49,10.0164,2.80594,4.991,11.808,8.41,6.504,0.515,1.47,0.07,24.9375,1477.759,4.0066,122.7,13.8,3672.0,7.65,0.107,11636.0,908.0,0.0
1682217900000,2023-04-23,02:45:00,13.33,9.9305,2.79215,5.046,11.844,8.41,6.978,0.548,1.22,0.08,24.8615,1477.35,3.99673,122.83,13.8,3673.0,0.809,0.0113,16640.0,906.0,0.0
1682218800000,2023-04-23,03:00:00,13.39,9.8825,2.78226,5.073,11.941,8.41,8.049,0.615,1.58,0.07,24.7974,1477.094,3.98804,123.64,13.8,3674.0,-0.054,-7.56E-4,16512.0,906.0,0.0
1682219700000,2023-04-23,03:15:00,13.25,9.9159,2.78244,5.087,11.813,8.4,7.415,0.662,1.2,0.08,24.7763,1477.193,3.98448,122.37,13.8,3675.0,0.975,0.0137,16821.0,908.0,0.0
1682220600000,2023-04-23,03:30:00,13.24,9.9106,2.78068,5.088,11.825,8.4,7.109,0.743,1.48,0.3,24.7627,1477.157,3.98257,122.48,13.8,3676.0,0.286,0.00401,16664.0,907.0,0.0
