**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/20/2023 12:00:00 AM	0.607	210	8.424	210	29.702	210	81.1	7.84	210	0.48	210	0.47	210	7.80	210	0.420	210			1023.05883	210	48.5	210	0.17	330	79.7	210	168.12	210	6.58	210		999	7.612	300		999	8.491	210	8.857	330	13.8	12.4		-0.936549	-0.889365		
2/20/2023 12:15:00 AM	0.549	210	8.421	210	29.705	210	81.0	7.83	210	0.51	210	0.47	210	7.80	210	0.435	210			1023.06159	210	48.3	210	0.17	330	80.1	210	161.33	210	6.15	210		999	7.612	300		999	8.493	210	8.858	330	13.8	12.4		-0.936503	-0.889331		
2/20/2023 12:30:00 AM	0.601	210	8.426	210	29.717	210	80.6	7.79	210	0.46	210	0.53	210	7.80	210	0.427	210			1023.07051	210	48.2	210	0.17	330	80.5	210	162.10	210	6.49	210		999	7.607	300		999	8.494	210	8.853	330	13.8	12.4		-0.936793	-0.889605		
2/20/2023 12:45:00 AM	0.520	210	8.423	210	29.718	210	80.6	7.79	210	0.51	210	0.52	210	7.80	210	0.426	210			1023.07190	210	48.2	210	0.17	330	80.9	210	155.58	210	6.14	210		999	7.596	300		999	8.494	210	8.842	330	13.8	12.4		-0.937437	-0.890202		
2/20/2023 1:00:00 AM	0.532	210	8.424	210	29.721	210	80.5	7.78	210	0.46	210	0.55	210	7.80	210	0.413	210			1023.07344	210	48.2	210	0.17	330	81.1	210	173.70	210	6.63	210		999	7.591	300		999	8.495	210	8.836	330	13.8	12.4		-0.937717	-0.890554		
2/20/2023 1:15:00 AM	0.549	210	8.423	210	29.720	210	80.6	7.79	210	0.51	210	0.50	210	7.80	210	0.415	210			1023.07283	210	48.2	210	0.17	330	80.3	210	169.83	210	6.07	210		999	7.589	300		999	8.495	210	8.834	330	13.8	12.4		-0.937829	-0.890651		
2/20/2023 1:30:00 AM	0.532	210	8.427	210	29.708	210	80.5	7.79	210	0.49	210	0.50	210	7.80	210	0.425	210			1023.06323	210	48.3	210	0.17	330	79.9	210	166.88	210	4.55	210		999	7.591	300		999	8.498	210	8.836	330	13.8	12.4		-0.937715	-0.890527		
2/20/2023 1:45:00 AM	0.521	210	8.427	210	29.721	210	80.4	7.77	210	0.51	210	0.52	210	7.80	210	0.419	210			1023.07281	210	48.3	210	0.17	330	80.1	210	165.47	210	5.38	210		999	7.584	300		999	8.498	210	8.829	330	13.8	12.4		-0.938073	-0.890916		
2/20/2023 2:00:00 AM	0.551	210	8.429	210	29.718	210	80.4	7.77	210	0.48	210	0.62	210	7.80	210	0.427	210			1023.07013	210	48.3	210	0.17	330	80.1	210	164.60	210	5.22	210		999	7.570	300		999	8.499	210	8.815	330	13.8	12.4		-0.938896	-0.891715		
2/20/2023 2:15:00 AM	0.551	210	8.428	210	29.717	210	80.3	7.77	210	0.49	210	0.47	210	7.80	210	0.426	210			1023.06992	210	48.3	210	0.17	330	80.3	210	185.46	210	5.32	210		999	7.570	300		999	8.500	210	8.816	330	13.8	12.4		-0.938890	-0.891678		
2/20/2023 2:30:00 AM	0.535	210	8.428	210	29.715	210	80.5	7.78	210	0.47	210	0.47	210	7.80	210	0.425	210			1023.06847	210	48.5	210	0.17	330	79.6	210	167.60	210	5.28	210		999	7.568	300		999	8.500	210	8.814	330	13.8	12.4		-0.938994	-0.891776		
2/20/2023 2:45:00 AM	0.524	210	8.425	210	29.715	210	80.6	7.79	210	0.53	210	0.56	210	7.80	210	0.428	210			1023.06842	210	48.5	210	0.17	330	79.6	210	169.48	210	6.55	210		999	7.579	300		999	8.499	210	8.825	330	13.8	12.4		-0.938378	-0.891151		
2/20/2023 3:00:00 AM	0.501	210	8.427	210	29.715	210	80.6	7.79	210	0.47	210	0.50	210	7.80	210	0.425	210			1023.06868	210	48.5	210	0.17	330	78.8	210	173.22	210	7.90	210		999	7.585	300		999	8.497	210	8.830	330	13.8	12.4		-0.938060	-0.890872		
2/20/2023 3:15:00 AM	0.547	210	8.425	210	29.712	210	80.8	7.81	210	0.51	210	0.48	210	7.80	210	0.425	210			1023.06655	210	48.5	210	0.17	330	79.0	210	178.60	210	7.32	210		999	7.593	300		999	8.497	210	8.839	330	13.8	12.4		-0.937595	-0.890381		
