UnixTimestamp,Date(America/Los_Angeles),Time(America/Los_Angeles),WindDirection,WindSpeed,SystemBattery,PAR_SQ-215-SS,SeaFETV2(SAMP_NUM),SeaFETV2(ERR_FLAG),SeaFETV2(PH_EXT),SeaFETV2(PH_INT),SeaFETV2(EXT_VOLT),SeaFETV2(INT_VOLT),SeaFETV2(TEMP),SeaFETV2(INT_HUMID),SeaFETV2(INT_TEMP),HCEP(TEMP),HCEP(COND),HCEP(PRES),HCEP(OXY),HCEP(PH),HCEP(FL),HCEP(TURB),HCEP(FSD),HCEP(TSD),HCEP(SAL),HCEP(SNDV),HCEP(SPC),HCEP(OSAT),HCEP(VOLT),HCEP(NUM),SUNA(M_Parameter1),SUNA(M_Parameter2),SUNA(M_Parameter3),SUNA(M_Parameter4),WXT510(Temp),WXT510(Humidity),HCEP(ERR),PAR_SQ_215_SS(Inactive-1)
1676332800000,02/13/2023,15:00:00,54.791,5.734,12.59,106.11,-1.0,0.0,7.7512,7.6299,-0.888459,-0.935512,8.5398,7.0,8.5,8.4579,3.16123,0.379,8.156,7.82,0.706,0.325,0.02,0.02,29.7134,1477.679,4.72419,84.43,13.8,1819.0,30.1,0.421,17676.0,813.0,41.0,79.1,0.0,
1676333700000,02/13/2023,15:15:00,75.467,4.45,12.52,92.48,-1.0,0.0,7.75,7.6271,-0.888534,-0.935667,8.5297,7.0,8.5,8.4592,3.16301,0.38,8.117,7.81,0.755,0.321,0.02,0.01,29.7308,1477.706,4.72667,84.03,13.8,1820.0,31.2,0.437,17692.0,813.0,41.1,79.2,0.0,
1676334600000,02/13/2023,15:30:00,69.402,3.093,12.56,82.36,-1.0,0.0,7.7503,7.6276,-0.888525,-0.935642,8.5204,7.0,8.5,8.4541,3.16271,0.337,8.107,7.81,0.695,0.318,0.02,0.01,29.7319,1477.688,4.72693,83.92,13.8,1821.0,29.9,0.419,17679.0,812.0,41.3,79.7,0.0,
1676335500000,02/13/2023,15:45:00,73.293,4.528,12.51,46.17,-1.0,0.0,7.7416,7.6187,-0.888995,-0.936135,8.5376,7.0,8.5,8.4739,3.16215,0.404,7.968,7.8,0.561,0.339,0.01,0.02,29.7094,1477.736,4.72331,82.5,13.8,1822.0,30.7,0.43,17621.0,815.0,41.5,79.2,0.0,
1676336400000,02/13/2023,16:00:00,93.076,4.468,12.48,23.63,-1.0,0.0,7.7247,7.6024,-0.889945,-0.937047,8.5349,7.0,8.5,8.4692,3.16151,0.396,7.872,7.8,0.49,0.359,0.03,0.02,29.7067,1477.715,4.72301,81.5,13.8,1823.0,29.9,0.419,17666.0,814.0,41.9,77.3,0.0,
1676337300000,02/13/2023,16:15:00,90.839,4.227,12.52,23.65,-1.0,0.0,7.7193,7.596,-0.890246,-0.937406,8.5368,7.0,8.5,8.463,3.16044,0.41,7.84,7.79,0.496,0.376,0.01,0.03,29.7008,1477.684,4.72229,81.16,13.8,1824.0,30.0,0.42,17657.0,813.0,41.9,78.0,0.0,
1676338200000,02/13/2023,16:30:00,99.254,3.342,12.46,2.38,-1.0,0.0,7.7227,7.5998,-0.890052,-0.937195,8.5405,7.0,8.5,8.4676,3.16108,0.404,7.826,7.79,0.487,0.359,0.02,0.03,29.7036,1477.705,4.7226,81.02,13.8,1825.0,29.9,0.419,17588.0,814.0,42.0,79.3,0.0,
1676339100000,02/13/2023,16:45:00,89.85,3.274,12.52,0.37,-1.0,0.0,7.7218,7.5993,-0.890105,-0.937223,8.536,7.0,8.5,8.4536,3.15863,0.392,7.826,7.79,0.504,0.352,0.01,0.02,29.6899,1477.635,4.72091,80.99,13.8,1826.0,30.6,0.428,17578.0,813.0,42.4,77.9,0.0,
1676340000000,02/13/2023,17:00:00,82.301,3.809,12.45,0.17,-1.0,0.0,7.7196,7.5967,-0.890229,-0.937369,8.5364,7.0,8.5,8.4691,3.16077,0.399,7.805,7.79,0.473,0.369,0.02,0.03,29.6991,1477.705,4.72192,80.8,13.8,1827.0,29.9,0.419,17577.0,813.0,42.2,78.4,0.0,
1676340900000,02/13/2023,17:15:00,58.38,1.902,12.44,0.17,-1.0,0.0,7.7214,7.5984,-0.890125,-0.937274,8.5398,7.0,8.5,8.4763,3.16168,0.371,7.799,7.79,0.496,0.366,0.02,0.03,29.7024,1477.736,4.72225,80.75,13.8,1828.0,30.8,0.432,17607.0,813.0,42.8,76.5,0.0,
1676341800000,02/13/2023,17:30:00,125.229,1.595,12.46,0.17,-1.0,0.0,7.7148,7.5911,-0.890491,-0.93768,8.5437,7.0,8.5,8.4752,3.16219,0.408,7.79,7.79,0.457,0.368,0.02,0.02,29.7087,1477.74,4.72318,80.66,13.8,1829.0,30.7,0.429,17586.0,813.0,44.4,72.5,0.0,
1676342700000,02/13/2023,17:45:00,159.969,3.564,12.48,0.17,-1.0,0.0,7.7146,7.5902,-0.890502,-0.937729,8.542,7.0,8.5,8.4795,3.1624,0.391,7.794,7.79,0.507,0.372,0.02,0.04,29.7073,1477.754,4.72289,80.71,13.8,1830.0,30.4,0.425,17614.0,813.0,44.0,66.1,0.0,
1676343600000,02/13/2023,18:00:00,44.934,6.934,12.43,0.17,-1.0,0.0,7.7145,7.591,-0.890505,-0.937681,8.5431,7.0,8.6,8.4694,3.16157,0.426,7.804,7.79,0.464,0.366,0.02,0.02,29.7071,1477.716,4.72307,80.79,13.8,1831.0,30.3,0.424,17297.0,812.0,42.4,74.5,0.0,
1676344500000,02/13/2023,18:15:00,77.095,3.489,12.41,0.17,-1.0,0.0,7.7144,7.5904,-0.890521,-0.937721,8.5349,7.0,8.5,8.4354,3.15621,0.395,7.837,7.79,0.513,0.375,0.02,0.06,29.68,1477.554,4.71986,81.07,13.8,1832.0,30.5,0.427,17631.0,813.0,41.0,75.5,0.0,
1676345400000,02/13/2023,18:30:00,46.8,4.279,12.41,0.17,-1.0,0.0,7.7151,7.5911,-0.890476,-0.937679,8.5376,7.0,8.5,8.4629,3.15844,0.426,7.821,7.79,0.485,0.363,0.03,0.03,29.6801,1477.658,4.71931,80.94,13.8,1833.0,30.0,0.421,17646.0,812.0,40.1,76.7,0.0,
