**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* Site uses SBE HydroCat-EP sondes for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Meteorological data use Vaisala WXT510 stations. 
* 
* There are two sondes at the Seattle Aquarium site: at approximately 1 m and 10 m depths. The sondes are distinguished in the column header by the number at the end of the parameter name (1 = 1 m, 2 = 10 m).
* Meteorological data are no longer available at this site beginning March 14, 2019.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* 
* 
* 
* Site coordinates: Lat 47.60786, Long -122.34360 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 9> Missing data.
***END***
Date	1_Depth_m	Qual_1_Depth	2_Depth_m	Qual_2_Depth	1_Water_Temperature_degC	Qual_1_Water_Temperature	2_Water_Temperature_degC	Qual_2_Water_Temperature	1_Salinity_PSU	Qual_1_Salinity	2_Salinity_PSU	Qual_2_Salinity	1_Dissolved_Oxygen_%Sat	1_Dissolved_Oxygen_mg/L	Qual_1_DO	2_Dissolved_Oxygen_%Sat	2_Dissolved_Oxygen_mg/L	Qual_2_DO	1_Chlorophyll_Fluorescence_ug/L	Qual_1_Chlorophyll_Fluorescence	2_Chlorophyll_Fluorescence_ug/L	Qual_2_Chlorophyll_Fluorescence	1_Turbidity_NTU	Qual_1_Turbidity	2_Turbidity_NTU	Qual_2_Turbidity	1_Sonde_pH	Qual_1_Sonde_pH	2_Sonde_pH	Qual_2_Sonde_pH	1_Density_kg/m^3	Qual_1_Water_Density	2_Density_kg/m^3	Qual_2_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Air_Pressure_inHg	Qual_Air_Pressure	Rain_Fall_in	Qual_Rain_Fall	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	1_Sonde_Batt_V	2_Sonde_Batt_V	Logger_Batt_V	1_Sonde_ID	2_Sonde_ID	
2/15/2023 12:00:00 AM	1.205	210	10.099	210	8.328	210	8.519	210	28.723	210	29.736	210	83.7	8.16	210	80.6	7.78	210	0.62	210	0.64	210	0.40	210	0.44	210	7.77	210	7.68	210	1022.30869	210	1023.11537	210															13.8	13.8	13.1			
2/15/2023 12:15:00 AM	1.158	210	10.060	210	7.905	210	8.523	210	26.623	210	29.707	210	86.9	8.67	210	80.3	7.75	210	0.54	210	0.76	210	0.38	210	0.47	210	7.79	210	7.68	210	1020.72131	210	1023.09234	210															13.8	13.8	12.9			
2/15/2023 12:30:00 AM	1.191	210	10.084	210	8.284	210	8.523	210	28.578	210	29.704	210	84.3	8.23	210	80.4	7.76	210	0.60	210	0.69	210	0.40	210	0.46	210	7.76	210	7.68	210	1022.20139	210	1023.09042	210															13.8	13.8	13.0			
2/15/2023 12:45:00 AM	1.185	210	10.071	210	8.173	210	8.522	210	28.223	210	29.721	210	84.6	8.30	210	80.3	7.75	210	0.55	210	0.75	210	0.39	210	0.45	210	7.77	210	7.68	210	1021.93876	210	1023.10375	210															13.8	13.8	13.0			
2/15/2023 1:00:00 AM	1.198	210	10.094	210	8.015	210	8.523	210	27.649	210	29.718	210	84.8	8.39	210	80.3	7.75	210	0.53	210	0.67	210	0.39	210	0.48	210	7.78	210	7.68	210	1021.51022	210	1023.10147	210															13.8	13.8	13.0			
2/15/2023 1:15:00 AM	1.199	210	10.087	210	7.016	210	8.523	210	22.793	210	29.719	210	87.3	9.12	210	80.3	7.75	210	0.50	210	0.78	210	0.44	210	0.43	210	7.85	210	7.68	210	1017.82427	210	1023.10200	210															13.8	13.8	13.1			
2/15/2023 1:30:00 AM	1.205	210	10.093	210	7.682	210	8.523	210	26.035	210	29.709	210	86.9	8.75	210	80.5	7.77	210	0.58	210	0.71	210	0.40	210	0.43	210	7.79	210	7.68	210	1020.28820	210	1023.09383	210															13.8	13.8	13.0			
2/15/2023 1:45:00 AM	1.152	210	10.045	210	8.226	210	8.523	210	28.392	210	29.638	210	84.7	8.29	210	80.6	7.78	210	0.61	210	0.86	210	0.39	210	0.46	210	7.76	210	7.68	210	1022.06341	210	1023.03884	210															13.8	13.8	13.1			
2/15/2023 2:00:00 AM	1.167	210	10.049	210	8.307	210	8.524	210	28.667	210	29.663	210	83.9	8.19	210	80.4	7.76	210	0.58	210	0.78	210	0.38	210	0.47	210	7.76	210	7.68	210	1022.26796	210	1023.05780	210															13.8	13.8	13.0			
2/15/2023 2:15:00 AM	1.165	210	10.045	210	8.166	210	8.522	210	28.068	210	29.717	210	84.6	8.31	210	80.4	7.76	210	0.55	210	0.78	210	0.34	210	0.43	210	7.77	210	7.68	210	1021.81839	210	1023.10019	210															13.8	13.8	13.0			
2/15/2023 2:30:00 AM	1.152	210	10.037	210	8.173	210	8.521	210	28.057	210	29.729	210	84.2	8.28	210	80.6	7.77	210	0.50	210	0.64	210	0.32	210	0.42	210	7.77	210	7.68	210	1021.80861	210	1023.10995	210															13.8	13.8	13.1			
2/15/2023 2:45:00 AM	1.144	210	10.025	210	7.894	210	8.521	210	27.140	210	29.723	210	86.2	8.57	210	80.7	7.78	210	0.52	210	0.76	210	0.31	210	0.42	210	7.78	210	7.68	210	1021.12752	210	1023.10517	210															13.8	13.8	13.0			
2/15/2023 3:00:00 AM	1.133	210	10.017	210	8.199	210	8.522	210	28.353	210	29.724	210	84.4	8.28	210	80.5	7.77	210	0.58	210	0.66	210	0.35	210	0.43	210	7.76	210	7.68	210	1022.03649	210	1023.10567	210															13.8	13.8	13.1			
