**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* Site uses SBE HydroCat-EP sondes for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Meteorological data use Vaisala WXT510 stations. 
* 
* There are two sondes at the Seattle Aquarium site: at approximately 1 m and 10 m depths. The sondes are distinguished in the column header by the number at the end of the parameter name (1 = 1 m, 2 = 10 m).
* Meteorological data are no longer available at this site beginning March 14, 2019.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* 
* 
* 
* Site coordinates: Lat 47.60786, Long -122.34360 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 9> Missing data.
***END***
Date	1_Depth_m	Qual_1_Depth	2_Depth_m	Qual_2_Depth	1_Water_Temperature_degC	Qual_1_Water_Temperature	2_Water_Temperature_degC	Qual_2_Water_Temperature	1_Salinity_PSU	Qual_1_Salinity	2_Salinity_PSU	Qual_2_Salinity	1_Dissolved_Oxygen_%Sat	1_Dissolved_Oxygen_mg/L	Qual_1_DO	2_Dissolved_Oxygen_%Sat	2_Dissolved_Oxygen_mg/L	Qual_2_DO	1_Chlorophyll_Fluorescence_ug/L	Qual_1_Chlorophyll_Fluorescence	2_Chlorophyll_Fluorescence_ug/L	Qual_2_Chlorophyll_Fluorescence	1_Turbidity_NTU	Qual_1_Turbidity	2_Turbidity_NTU	Qual_2_Turbidity	1_Sonde_pH	Qual_1_Sonde_pH	2_Sonde_pH	Qual_2_Sonde_pH	1_Density_kg/m^3	Qual_1_Water_Density	2_Density_kg/m^3	Qual_2_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Air_Pressure_inHg	Qual_Air_Pressure	Rain_Fall_in	Qual_Rain_Fall	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	1_Sonde_Batt_V	2_Sonde_Batt_V	Logger_Batt_V	1_Sonde_ID	2_Sonde_ID	
3/28/2023 12:00:00 AM	0.990	210	9.895	210	8.284	210	8.062	210	29.323	210	29.780	210	89.4	8.69	210	85.1	8.29	210	0.63	210	0.63	210	0.29	210	0.35	210	7.85	210	7.75	210	1022.78321	210	1023.21390	210															13.0	13.8	13.0			
3/28/2023 12:15:00 AM	0.977	210	9.874	210	8.260	210	8.050	210	29.455	210	29.791	210	88.1	8.57	210	84.9	8.27	210	0.78	210	0.63	210	0.33	210	0.40	210	7.84	210	7.74	210	1022.89021	210	1023.22390	210															13.0	13.8	13.0			
3/28/2023 12:30:00 AM	0.960	210	9.847	210	8.284	210	8.053	210	29.165	210	29.789	210	89.9	8.75	210	84.7	8.26	210	0.54	210	0.57	210	0.23	210	0.37	210	7.85	210	7.74	210	1022.65975	210	1023.22197	210															13.0	13.8	13.1			
3/28/2023 12:45:00 AM	0.934	210	9.815	210	8.247	210	8.130	210	29.173	210	29.697	210	89.6	8.72	210	85.4	8.32	210	0.69	210	0.89	210	0.29	210	0.34	210	7.85	210	7.75	210	1022.67161	210	1023.13909	210															13.0	13.8	13.1			
3/28/2023 1:00:00 AM	0.899	210	9.773	210	8.297	210	8.056	210	29.293	210	29.787	210	89.1	8.66	210	85.3	8.31	210	0.66	210	0.58	210	0.31	210	0.42	210	7.85	210	7.75	210	1022.75839	210	1023.21990	210															13.0	13.8	13.0			
3/28/2023 1:15:00 AM	0.872	210	9.738	210	8.276	210	8.068	210	29.333	210	29.776	210	88.9	8.64	210	84.8	8.26	210	0.74	210	0.68	210	0.27	210	0.40	210	7.84	210	7.75	210	1022.79149	210	1023.20927	210															13.0	13.8	13.1			
3/28/2023 1:30:00 AM	0.856	210	9.717	210	8.245	210	8.143	210	29.486	210	29.679	210	88.2	8.57	210	85.6	8.33	210	0.72	210	0.78	210	0.29	210	0.33	210	7.85	210	7.75	210	1022.91584	210	1023.12323	210															13.0	13.8	13.1			
3/28/2023 1:45:00 AM	0.834	210	9.695	210	8.222	210	8.129	210	29.560	210	29.704	210	87.9	8.54	210	86.3	8.40	210	0.79	210	0.85	210	0.31	210	0.31	210	7.83	210	7.75	210	1022.97683	210	1023.14385	210															13.0	13.8	13.0			
3/28/2023 2:00:00 AM	0.793	210	9.660	210	8.235	210	8.107	210	29.480	210	29.731	210	88.1	8.57	210	86.2	8.39	210	0.68	210	0.74	210	0.26	210	0.37	210	7.84	210	7.75	210	1022.91287	210	1023.16802	210															13.0	13.8	13.0			
3/28/2023 2:15:00 AM	0.755	210	9.631	210	8.237	210	8.087	210	29.462	210	29.752	210	88.4	8.60	210	85.7	8.35	210	0.74	210	0.77	210	0.26	210	0.33	210	7.84	210	7.75	210	1022.89817	210	1023.18705	210															13.0	13.8	13.0			
3/28/2023 2:30:00 AM	0.738	210	9.596	210	8.220	210	8.090	210	29.509	210	29.750	210	88.2	8.58	210	85.6	8.34	210	0.66	210	0.72	210	0.31	210	0.33	210	7.84	210	7.75	210	1022.93711	210	1023.18500	210															13.0	13.8	13.0			
3/28/2023 2:45:00 AM	0.712	210	9.566	210	8.216	210	8.084	210	29.494	210	29.756	210	88.0	8.56	210	85.6	8.34	210	0.70	210	0.75	210	0.30	210	0.34	210	7.84	210	7.75	210	1022.92645	210	1023.19071	210															13.0	13.8	13.0			
3/28/2023 3:00:00 AM	0.689	210	9.551	210	8.209	210	8.086	210	29.525	210	29.754	210	88.0	8.56	210	85.7	8.34	210	0.68	210	0.70	210	0.31	210	0.32	210	7.84	210	7.75	210	1022.95156	210	1023.18867	210															13.0	13.8	13.1			
